week,ID,Demand,Discount_Percentage,lag_1,rolling_mean,upload_date_time,Primary_Category_Alt,Name,price_range_description,Price,Description,Status,Inventory_Level,Reorder_Point,Lead_Time_Days,Supplier,Supplier_Name,Last_Restock_Date,Total_Revenue
14,2860,45,45.4,,,2023-04-06 01:14:53.525169,Men,Dress,Premium,431.87,Dress in Men category,Out of Stock,298,62,12,Supplier_6,S&S Activewear,2023-02-22 01:14:53.525169,10611.67
52,7463,122,20.5,45.0,,2022-12-29 01:14:53.525169,Kids,Shorts,Medium,88.44,Shorts in Kids category,Out of Stock,259,15,8,Supplier_1,FashionGo,2022-11-09 01:14:53.525169,8577.96
32,9367,26,8.46,122.0,,2024-08-05 01:14:53.525169,Shoes,Shorts,Premium,471.14,Shorts in Shoes category,Available,168,73,11,Supplier_5,Royal Apparel,2024-08-01 01:14:53.525169,11213.45
22,8852,109,12.5,26.0,75.5,2022-06-04 01:14:53.525169,Shoes,Shorts,Medium,83.87,Shorts in Shoes category,Out of Stock,109,27,5,Supplier_4,Bella+Canvas,2022-05-27 01:14:53.525169,7999.33
11,9910,38,32.03,109.0,73.75,2024-03-15 01:14:53.525169,Kids,Coat,Low,27.39,Coat in Kids category,Out of Stock,239,68,12,Supplier_4,Bella+Canvas,2024-03-13 01:14:53.525169,707.47
10,1081,110,13.95,38.0,70.75,2023-03-09 01:14:53.525169,Accessories,Dress,Low,17.27,Dress in Accessories category,Available,260,20,5,Supplier_7,Blankstyle,2023-01-21 01:14:53.525169,1634.85
44,7680,4,39.08,110.0,65.25,2022-11-06 01:14:53.525169,Accessories,Bags,High,181.87,Bags in Accessories category,Out of Stock,30,77,3,Supplier_10,JiffyShirts,2022-09-12 01:14:53.525169,443.2
22,5945,114,39.56,4.0,66.5,2023-06-02 01:14:53.525169,Kids,Jacket,Medium,89.81,Jacket in Kids category,Out of Stock,144,67,11,Supplier_7,Blankstyle,2023-04-09 01:14:53.525169,6188.58
25,4155,76,20.44,114.0,76.0,2022-06-24 01:14:53.525169,Accessories,Jeans,Premium,411.56,Jeans in Accessories category,Available,157,49,13,Supplier_4,Bella+Canvas,2022-04-15 01:14:53.525169,24886.4
45,1634,31,15.92,76.0,56.25,2020-11-07 01:14:53.525169,Shoes,Coat,Premium,484.31,Coat in Shoes category,Out of Stock,31,5,12,Supplier_2,Apparel Distribution Center,2020-09-24 01:14:53.525169,12623.03
37,1545,89,33.9,31.0,77.5,2022-09-17 01:14:53.525169,Women,Shorts,Premium,217.57,Shorts in Women category,Available,139,67,9,Supplier_9,Wholesale Fashion Square,2022-08-06 01:14:53.525169,12799.69
33,8315,41,8.7,89.0,59.25,2022-08-19 01:14:53.525169,Women,Dress,Premium,302.11,Dress in Women category,Out of Stock,175,63,7,Supplier_10,JiffyShirts,2022-07-11 01:14:53.525169,11308.96
27,6690,15,30.5,41.0,44.0,2021-07-11 01:14:53.525169,Men,Bags,Low,6.55,Bags in Men category,Available,243,73,12,Supplier_2,Apparel Distribution Center,2021-04-18 01:14:53.525169,68.28
